SampleName,Actinobacteria,Bacteroidetes,Candidatus_Saccharibacteria,Chloroflexi,Deinococcus-Thermus,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unclassified_Bacteria,Verrucomicrobia
DRR171661,0.014985826433453536,0.4716760567752056,2.7472346865256265e-05,0.0,0.0,0.43488348150750383,0.0004865213693999491,0.0,0.023575108062078614,0.00016758873087731316,9.399845960715288e-05,0.0,4.890872528120638e-05,0.052398320949825335
DRR171665,0.012342310647532752,0.6378487944529214,3.2687659393148584e-05,0.0,0.0,0.34410339743475243,0.0,0.0,0.004537187290738465,0.0,0.0,0.0,9.840917011847177e-05,0.0
DRR171666,0.048820308279216997,0.5360516406396822,0.00010228209454412112,0.0,0.0,0.38064238746581575,0.00012772758300232768,0.0,0.02055970660672663,3.0364530622879433e-05,1.4604648083700947e-05,0.0,5.886670968548971e-05,0.012215816670762422
DRR171667,0.07861569403111839,0.36423307716490616,3.006399614315091e-05,0.0,0.0,0.5372185593791206,0.00033027462757518055,0.0,0.0018820652545443258,0.00012833335668754493,0.0,0.0,0.004110188325653671,0.012411702492353394
DRR171672,0.02621962939872327,0.7404850689388356,0.0,0.0,0.0,0.21540642427887746,0.0,0.0,0.016140079311019885,0.0002130151553809845,5.418684634592408e-05,0.0,0.00020415474258378736,0.0
DRR171680,0.03043958232626433,0.5172860357797004,1.6340243718496647e-05,1.6074708098739795e-05,0.0,0.3875905895155738,0.0011062003855949773,0.0,0.06188713063912822,0.0,0.0,0.0,0.00012808946955789285,0.0
DRR171683,0.027692132462139446,0.47144711087784147,2.225634735802761e-05,0.0,0.0,0.4813074545152591,0.0010608335115879655,8.602761434421791e-05,0.01567620987885283,5.3260043727587945e-05,0.00016213406643258082,0.0,0.0007522907392596244,0.0
DRR171684,0.025934608804729333,0.5396717057115263,2.4538780732337186e-05,0.0,0.0,0.373039402991009,0.018439720310719065,0.00010166681795788292,0.04135529697049035,0.0,0.0001177681824282701,0.0,5.8557295737667945e-05,0.0002449921481677677
DRR171685,0.01614258325898153,0.6176614954474763,4.4354139055246114e-05,0.0,0.0,0.32295420085539234,0.00026213218293162985,0.0,0.041562488037718344,0.0,5.128458106111472e-05,0.0,0.00016388983654197633,0.0
DRR171688,0.05935808567505071,0.49790823366015674,1.884958115425724e-05,0.0,0.0,0.3898319661326306,0.00027146065100947626,0.0,0.051260716478171285,0.0,0.0,0.0,4.94658821415001e-05,0.0
DRR171693,0.3740664405011015,0.3799031854079037,0.0,1.4971018504262356e-05,0.0,0.22123117798127742,0.014757985563968738,0.0,0.00503193679613544,5.4845268945740286e-05,0.003183207547556191,0.0,0.00023851754815201813,0.0
DRR171697,0.028302942375645335,0.4178366190205527,0.0,0.0,0.0,0.5447106229697259,2.1153508327973646e-05,0.0,0.006640482879044908,0.0004701627754393341,0.00026694882886135984,0.0,7.273324565314553e-05,0.0
DRR171702,0.1024829985664674,0.18159027688714985,4.2634620407803634e-05,0.0,0.0,0.7024411342659399,0.0,0.0,0.00837056907293625,0.00010889992237887574,6.218657146701282e-05,0.0,0.003372462393120278,0.0
DRR171704,0.06731298710176116,0.38476552628466704,3.962610596089126e-05,0.0,0.0,0.4925460207752782,0.00016255471031519978,0.0,0.05336363112269511,0.0001019715071311866,1.701733839879575e-05,0.0,0.00017194567352869184,0.0
DRR171742,0.05136003992885469,0.489450547913575,6.820406357934668e-05,0.0,0.0,0.40770048978998036,0.007991795771462163,0.0,0.0418947480794676,6.519073807383461e-05,0.0,0.0,0.0002482026726341994,0.0
DRR171750,0.006659666356459413,0.6412954335223919,0.0,0.0,0.0,0.29554166424431644,0.0005608256963653965,0.0005121160064357948,0.05027181569213383,6.838307624142067e-05,0.00024862019924485875,0.0,0.00012090728215108601,0.0026494437926578344
DRR171764,0.014727882040522977,0.6778016083836722,2.7180331943001224e-05,0.0,0.0,0.22272976657146976,0.02887501768124539,0.0,0.024411887983367762,0.0,0.0,0.0,7.184583983538128e-05,0.030042042963865128
