,Total_Associations,Positive_WithinGenus,Negative_WithinGenus,Positive_WithinFamily,Negative_WithinFamily,Positive_WithinOrder,Negative_WithinOrder,Positive_WithinClass,Negative_WithinClass,Positive_WithinPhylum,Negative_WithinPhylum,Positive_OutsidePhylum,Negative_OutsidePhylum
96,292,8.0,0.0,21,2.0,69,3.0,1.0,0.0,51,0.0,134,3.0
97,292,8.0,0.0,29,1.0,67,1.0,1.0,0.0,43,2.0,136,4.0
98,292,6.0,0.0,30,1.0,73,1.0,0.0,0.0,54,2.0,121,4.0
99,292,6.0,0.0,27,1.0,62,3.0,0.0,0.0,50,1.0,139,3.0
100,292,6.0,0.0,25,1.0,60,3.0,1.0,0.0,55,1.0,137,3.0
101,292,8.0,1.0,30,0.0,60,2.0,0.0,0.0,58,1.0,128,4.0
102,292,10.0,0.0,19,0.0,79,0.0,0.0,0.0,54,4.0,122,4.0
103,292,6.0,0.0,22,0.0,72,2.0,0.0,0.0,37,2.0,147,4.0
104,292,5.0,0.0,27,0.0,62,1.0,0.0,0.0,47,2.0,143,5.0
105,292,8.0,0.0,19,1.0,77,0.0,0.0,0.0,52,0.0,128,7.0
106,292,14.0,0.0,31,1.0,71,2.0,0.0,0.0,45,2.0,123,3.0
107,292,6.0,0.0,23,1.0,55,2.0,0.0,0.0,50,0.0,150,5.0
108,292,12.0,0.0,26,2.0,66,2.0,0.0,0.0,55,1.0,125,3.0
109,292,6.0,0.0,18,2.0,84,0.0,1.0,0.0,40,3.0,135,3.0
110,292,9.0,1.0,19,0.0,90,2.0,0.0,0.0,53,2.0,113,3.0
111,292,6.0,0.0,23,0.0,72,3.0,0.0,0.0,49,1.0,134,4.0
112,292,7.0,0.0,21,1.0,80,1.0,0.0,0.0,60,3.0,116,3.0
113,292,8.0,0.0,28,0.0,61,3.0,0.0,0.0,54,1.0,133,4.0
114,292,7.0,0.0,25,1.0,77,2.0,1.0,0.0,45,3.0,129,2.0
115,292,5.0,0.0,20,1.0,87,3.0,1.0,0.0,47,0.0,124,4.0
116,292,4.0,1.0,24,0.0,63,1.0,0.0,0.0,55,2.0,138,4.0
117,292,5.0,0.0,24,0.0,70,1.0,0.0,0.0,56,2.0,129,5.0
118,292,7.0,0.0,28,1.0,70,1.0,0.0,0.0,47,0.0,132,6.0
119,292,8.0,0.0,21,2.0,66,0.0,0.0,0.0,63,4.0,126,2.0
120,292,8.0,1.0,27,2.0,73,1.0,1.0,0.0,52,1.0,123,3.0
121,292,11.0,0.0,21,1.0,66,2.0,0.0,0.0,48,2.0,138,3.0
122,292,11.0,0.0,25,0.0,78,4.0,0.0,0.0,51,0.0,119,4.0
123,292,10.0,0.0,25,1.0,75,0.0,0.0,0.0,49,2.0,125,5.0
124,292,7.0,0.0,24,2.0,66,3.0,0.0,0.0,61,1.0,126,2.0
125,292,8.0,0.0,20,0.0,79,1.0,0.0,0.0,45,2.0,132,5.0
126,292,8.0,0.0,27,2.0,73,2.0,1.0,0.0,41,1.0,134,3.0
127,292,3.0,1.0,24,0.0,78,3.0,0.0,0.0,53,1.0,126,3.0
128,292,7.0,1.0,28,1.0,71,1.0,0.0,0.0,60,2.0,118,3.0
129,292,7.0,1.0,19,0.0,72,2.0,0.0,0.0,60,3.0,126,2.0
130,292,8.0,0.0,28,0.0,76,3.0,1.0,0.0,41,3.0,130,2.0
131,292,8.0,0.0,17,0.0,75,3.0,0.0,0.0,46,1.0,138,4.0
132,292,3.0,0.0,28,1.0,56,1.0,0.0,0.0,56,2.0,141,4.0
133,292,10.0,0.0,21,0.0,80,1.0,0.0,0.0,46,3.0,127,4.0
134,292,9.0,0.0,28,0.0,78,2.0,0.0,0.0,38,4.0,131,2.0
135,292,6.0,0.0,23,2.0,76,2.0,0.0,0.0,50,0.0,129,4.0
136,292,10.0,2.0,22,0.0,59,0.0,0.0,0.0,57,1.0,136,5.0
137,292,4.0,0.0,27,1.0,68,1.0,0.0,0.0,51,2.0,134,4.0
138,292,5.0,0.0,22,2.0,71,2.0,0.0,0.0,44,1.0,142,3.0
139,292,2.0,1.0,26,0.0,73,3.0,0.0,0.0,59,0.0,124,4.0
140,292,4.0,0.0,20,1.0,79,1.0,0.0,0.0,59,0.0,122,6.0
141,292,14.0,0.0,23,1.0,86,4.0,0.0,0.0,49,0.0,112,3.0
142,292,8.0,0.0,23,1.0,64,5.0,0.0,0.0,55,0.0,134,2.0
143,292,7.0,0.0,24,0.0,76,1.0,0.0,0.0,48,2.0,129,5.0
144,292,7.0,0.0,23,0.0,74,1.0,0.0,0.0,36,1.0,144,6.0
145,292,9.0,0.0,18,0.0,71,2.0,0.0,0.0,65,3.0,121,3.0
146,292,13.0,0.0,26,1.0,60,1.0,1.0,0.0,56,3.0,128,3.0
147,292,6.0,0.0,27,0.0,74,1.0,0.0,0.0,45,1.0,132,6.0
148,292,3.0,0.0,26,2.0,74,2.0,0.0,0.0,52,0.0,129,4.0
149,292,14.0,0.0,27,1.0,70,2.0,0.0,0.0,51,1.0,122,4.0
150,292,5.0,0.0,23,0.0,68,4.0,0.0,0.0,54,1.0,134,3.0
151,292,9.0,0.0,14,0.0,71,2.0,1.0,0.0,57,1.0,132,5.0
152,292,6.0,0.0,29,1.0,66,1.0,0.0,0.0,49,2.0,134,4.0
