Bacterial_Species,Mean_Relative_Abundance,Total_Edges,Positive_Edges,Negative_Edges,Triangles,Degree_Centrality,Clustering_Coefficient,Harmonic_Centrality,Betweenness_Centrality,Cohort
Streptococcus_sp_oral_taxon_431,0.00022845596647091488,3,3,0,2,0.01829268292682927,0.6666666666666666,21.066341991341954,0.007930570103247044,Healthy
Bacteroides_pectinophilus,0.0010401080006574796,3,3,0,0,0.01829268292682927,0.0,30.097222222222236,0.0160855903037558,Healthy
Sellimonas_intestinalis,0.0007311319337758599,4,4,0,6,0.024390243902439025,1.0,30.698809523809533,0.0,Healthy
Streptococcus_sp_FDAARGOS_192,0.0022435022535436553,3,3,0,1,0.01829268292682927,0.3333333333333333,3.0,0.00014963339817447254,Healthy
Prevotellamassilia_timonensis,0.006550327773304673,1,1,0,0,0.006097560975609756,0.0,25.35277777777777,0.0,Healthy
Dorea_longicatena,0.003841189699831939,1,1,0,0,0.006097560975609756,0.0,20.990873015872985,0.0,Healthy
Barnesiella_viscericola,0.0003444723757672446,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Lactonifactor_longoviformis,0.0001920636934540179,3,3,0,1,0.01829268292682927,0.3333333333333333,28.359523809523818,0.01601077360466856,Healthy
Bacteroides_dorei,0.03533371613746685,5,5,0,5,0.03048780487804878,0.5,32.699999999999996,0.005984984724403208,Healthy
Flavonifractor_plautii,0.003967904063089511,12,12,0,28,0.07317073170731708,0.42424242424242425,39.83571428571432,0.01388898512403662,Healthy
Bacteroides_cellulosilyticus,0.002502399417359289,1,1,0,0,0.006097560975609756,0.0,26.933730158730153,0.0,Healthy
Lachnoanaerobaculum_saburreum,5.9752797956764805e-05,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Marvinbryantia_formatexigens,9.471521206569693e-05,2,2,0,1,0.012195121951219513,1.0,21.19844877344874,0.0,Healthy
Coprococcus_comes,0.003313163899727322,2,2,0,1,0.012195121951219513,1.0,29.597222222222236,0.0,Healthy
Gemmiger_formicilis,0.012141032472010451,1,1,0,0,0.006097560975609756,0.0,29.976587301587305,0.0,Healthy
Tyzzerella_nexilis,0.0043729312311965056,7,7,0,16,0.042682926829268296,0.7619047619047619,35.92857142857141,0.0014908608484781641,Healthy
Bacteroides_coprophilus,0.008935789514594726,4,4,0,3,0.024390243902439025,0.5,29.606349206349208,0.0011105483589384099,Healthy
Streptococcus_sp_A12,0.00035051174949725865,1,1,0,0,0.006097560975609756,0.0,2.0,0.0,Healthy
Blautia_schinkii,6.769691699543863e-05,3,3,0,2,0.01829268292682927,0.6666666666666666,29.455555555555573,0.0004228795765075357,Healthy
