Sample,ShannonWienerIndex,Cohort
DRR127491,3.517013959360886,CRC
DRR127507,3.528606931170112,CRC
DRR127509,3.6803944799645847,CRC
DRR127514,4.046049662773891,CRC
DRR127515,4.1368861577412375,CRC
DRR127517,3.9385271612462804,CRC
DRR127519,2.9886344094636192,CRC
DRR127521,3.816544726586311,CRC
DRR127536,3.7321441369275763,CRC
DRR127557,2.8269026116976406,CRC
DRR127559,3.5955304678341675,CRC
DRR127567,2.4425832817202537,CRC
DRR127579,3.172043875341764,CRC
DRR127580,3.759277138102696,CRC
DRR127594,3.3111028780719165,CRC
DRR127603,3.5262479401921065,CRC
DRR127617,3.4188791273701664,CRC
DRR127625,3.4346928087165605,CRC
DRR127638,3.1411894298632586,CRC
DRR127646,3.5961602400118657,CRC
DRR127647,3.0110286835624414,CRC
DRR127666,2.4031113241395516,CRC
DRR127669,3.638546136113037,CRC
DRR127674,3.7795222165689015,CRC
DRR127685,3.83816331587473,CRC
DRR127700,3.761001174602642,CRC
DRR127708,3.7021228108652195,CRC
DRR127718,2.465075709334407,CRC
DRR127720,3.823501820361801,CRC
DRR127754,3.535109477815236,CRC
DRR127767,3.8511490288688517,CRC
DRR127774,3.708584447322626,CRC
DRR127789,3.830825085718637,CRC
DRR162777,3.4856866448096637,CRC
DRR162778,4.098606380194169,CRC
DRR162779,3.568059583670316,CRC
DRR171459,2.7863630053628534,CRC
DRR171472,3.339787240060486,CRC
DRR171519,3.1122401977538368,CRC
DRR171661,3.859204124395213,CRC
DRR171665,3.3628699728879776,CRC
DRR171666,4.048139660596272,CRC
DRR171667,3.7674192499349974,CRC
DRR171672,2.813173184098784,CRC
DRR171680,3.5510705224606616,CRC
DRR171683,3.6696070646619465,CRC
DRR171684,3.650256239299117,CRC
DRR171685,3.7039572050233054,CRC
DRR171688,3.5801965536298286,CRC
DRR171693,3.546252415887182,CRC
DRR171697,3.670656542401042,CRC
DRR171702,3.9284005302266967,CRC
DRR171704,4.070583586535162,CRC
DRR171742,3.408338117790189,CRC
DRR171750,3.8068438028003153,CRC
DRR171764,3.413406671066406,CRC
DRR171767,3.5111927581390594,CRC
DRR171784,3.5326444953537135,CRC
DRR171794,3.6980468785833778,CRC
DRR171800,3.500673233460408,CRC
DRR171805,2.894549550712527,CRC
DRR171819,3.902813118514378,CRC
DRR171858,3.895916497276623,CRC
DRR171859,3.6668500393216563,CRC
DRR171871,3.7099587024611282,CRC
DRR171879,2.9149669672602876,CRC
DRR171891,2.680564862064179,CRC
DRR171905,2.94166162937078,CRC
DRR171909,3.0139153205051996,CRC
DRR171910,3.881976481177916,CRC
